iata,y2015,y2014
ATL,"49,340,732","46,604,273"
LAX,"36,351,226","34,314,197"
ORD,"36,305,668","33,686,811"
DFW,"31,589,832","30,766,940"
JFK,"27,717,503","26,244,928"
DEN,"26,280,043","26,000,591"
SFO,"24,190,549","22,756,008"
CLT,"21,913,156","21,542,277"
LAS,"21,824,231","20,551,016"
PHX,"21,351,445","20,344,867"
MIA,"20,986,341","19,468,523"
IAH,"20,595,874","19,772,054"
SEA,"20,148,980","17,888,080"
MCO,"18,759,938","17,278,608"
EWR,"18,684,765","17,680,826"
MSP,"17,634,252","16,972,678"
BOS,"16,290,323","15,425,869"
DTW,"16,255,507","15,775,941"
PHL,"15,101,318","14,747,112"
LGA,"14,319,924","13,415,797"
FLL,"13,061,607","11,987,607"
BWI,"11,738,828","11,022,200"
DCA,"11,242,375","10,057,794"
MDW,"10,830,783","10,318,311"
SLC,"10,634,519","10,139,065"
IAD,"10,363,918","10,415,948"
SAN,"9,985,739","9,333,152"
HNL,"9,479,083","9,463,000"
TPA,"9,150,414","8,531,561"
PDX,"8,340,234","7,878,760"
DAL,"7,040,921","4,522,341"
STL,"6,239,231","6,108,758"
HOU,"5,937,944","5,800,726"
AUS,"5,797,547","5,219,982"
BNA,"5,708,852","5,396,958"
OAK,"5,506,672","5,069,257"
MSY,"5,329,696","4,870,569"
MCI,"5,135,127","4,982,722"
RDU,"4,954,717","4,673,869"
SNA,"4,945,175","4,584,147"
SJC,"4,814,721","4,621,003"
SMF,"4,714,723","4,384,616"
SJU,"4,218,785","4,150,828"
RSW,"4,159,212","3,942,387"
SAT,"4,091,389","4,046,856"
CLE,"3,916,914","3,686,315"
PIT,"3,890,677","3,827,860"
IND,"3,889,567","3,605,908"
CMH,"3,312,496","3,115,501"
MKE,"3,229,876","3,228,607"
OGG,"3,220,753","3,019,338"
PBI,"3,113,485","2,926,242"
CVG,"3,036,697","2,874,684"
BDL,"2,926,047","2,913,380"
JAX,"2,716,465","2,589,198"
ANC,"2,525,876","2,381,826"
BUF,"2,331,545","2,378,469"
ABQ,"2,323,850","2,354,184"
ONT,"2,089,781","2,037,346"
OMA,"2,046,155","2,020,354"
